cell_id;antenna_id;service
C0000001;ANT000001;N78
C0000002;ANT000001;B1
C0000003;ANT000001;B7
C0000004;ANT000002;N78
C0000005;ANT000002;B1
C0000006;ANT000002;B7
C0000007;ANT000003;N78
C0000008;ANT000003;B1
C0000009;ANT000003;B7
C0000010;ANT000004;N78
C0000011;ANT000004;B1
C0000012;ANT000004;B7
C0000013;ANT000005;N78
C0000014;ANT000005;B1
C0000015;ANT000005;B7
C0000016;ANT000006;N78
C0000017;ANT000006;B1
C0000018;ANT000006;B7
C0000019;ANT000007;N78
C0000020;ANT000007;B1
C0000021;ANT000007;B7
C0000022;ANT000008;N78
C0000023;ANT000008;B1
C0000024;ANT000008;B7
C0000025;ANT000009;N78
C0000026;ANT000009;B1
C0000027;ANT000009;B7
C0000028;ANT000010;GSM900
C0000029;ANT000010;B8
C0000030;ANT000010;B32
C0000031;ANT000010;B3
C0000032;ANT000010;B7
C0000033;ANT000010;B20
C0000034;ANT000010;N28
C0000035;ANT000010;N1
C0000036;ANT000010;B1
C0000037;ANT000010;N78
C0000038;ANT000011;GSM900
C0000039;ANT000011;B8
C0000040;ANT000011;B32
C0000041;ANT000011;B3
C0000042;ANT000011;B7
C0000043;ANT000011;B20
C0000044;ANT000011;N28
C0000045;ANT000011;N1
C0000046;ANT000011;B1
C0000047;ANT000011;N78
C0000048;ANT000012;GSM900
C0000049;ANT000012;B8
C0000050;ANT000012;B32
C0000051;ANT000012;B3
C0000052;ANT000012;B7
C0000053;ANT000012;B20
C0000054;ANT000012;N28
C0000055;ANT000012;N1
C0000056;ANT000012;B1
C0000057;ANT000012;N78
C0000058;ANT000013;GSM900
C0000059;ANT000013;B8
C0000060;ANT000013;B32
C0000061;ANT000013;B3
C0000062;ANT000013;B7
C0000063;ANT000013;B20
C0000064;ANT000013;N28
C0000065;ANT000013;N1
C0000066;ANT000013;B1
C0000067;ANT000013;N78
C0000068;ANT000014;GSM900
C0000069;ANT000014;B8
C0000070;ANT000014;B32
C0000071;ANT000014;B3
C0000072;ANT000014;B7
C0000073;ANT000014;B20
C0000074;ANT000014;N28
C0000075;ANT000014;N1
C0000076;ANT000014;B1
C0000077;ANT000014;N78
C0000078;ANT000015;GSM900
C0000079;ANT000015;B8
C0000080;ANT000015;B32
C0000081;ANT000015;B3
C0000082;ANT000015;B7
C0000083;ANT000015;B20
C0000084;ANT000015;N28
C0000085;ANT000015;N1
C0000086;ANT000015;B1
C0000087;ANT000015;N78
C0000088;ANT000016;GSM900
C0000089;ANT000016;B8
C0000090;ANT000016;B32
C0000091;ANT000016;B3
C0000092;ANT000016;B7
C0000093;ANT000016;B20
C0000094;ANT000016;N28
C0000095;ANT000016;N1
C0000096;ANT000016;B1
C0000097;ANT000016;N78
C0000098;ANT000017;GSM900
C0000099;ANT000017;B8
C0000100;ANT000017;B32
C0000101;ANT000017;B3
C0000102;ANT000017;B7
C0000103;ANT000017;B20
C0000104;ANT000017;N28
C0000105;ANT000017;N1
C0000106;ANT000017;B1
C0000107;ANT000017;N78
C0000108;ANT000018;GSM900
C0000109;ANT000018;B8
C0000110;ANT000018;B32
C0000111;ANT000018;B3
C0000112;ANT000018;B7
C0000113;ANT000018;B20
C0000114;ANT000018;N28
C0000115;ANT000018;N1
C0000116;ANT000018;B1
C0000117;ANT000018;N78
C0000118;ANT000019;B1
C0000119;ANT000019;B3
C0000120;ANT000019;B20
C0000121;ANT000019;N28
C0000122;ANT000020;B1
C0000123;ANT000020;B3
C0000124;ANT000020;B20
C0000125;ANT000020;N28
C0000126;ANT000021;B1
C0000127;ANT000021;B3
C0000128;ANT000021;B20
C0000129;ANT000021;N28
C0000130;ANT000022;B8
C0000131;ANT000022;B3
C0000132;ANT000022;N1
C0000133;ANT000022;B1
C0000134;ANT000022;N78
C0000135;ANT000023;B8
C0000136;ANT000023;B3
C0000137;ANT000023;N1
C0000138;ANT000023;B1
C0000139;ANT000023;N78
C0000140;ANT000024;B8
C0000141;ANT000024;B3
C0000142;ANT000024;N1
C0000143;ANT000024;B1
C0000144;ANT000024;N78
C0000145;ANT000025;GSM900
C0000146;ANT000025;B8
C0000147;ANT000025;B3
C0000148;ANT000025;B32
C0000149;ANT000025;B20
C0000150;ANT000025;N28
C0000151;ANT000025;B1
C0000152;ANT000025;N78
C0000153;ANT000026;GSM900
C0000154;ANT000026;B8
C0000155;ANT000026;B3
C0000156;ANT000026;B32
C0000157;ANT000026;B20
C0000158;ANT000026;N28
C0000159;ANT000026;B1
C0000160;ANT000026;N78
C0000161;ANT000027;GSM900
C0000162;ANT000027;B8
C0000163;ANT000027;B3
C0000164;ANT000027;B32
C0000165;ANT000027;B20
C0000166;ANT000027;N28
C0000167;ANT000027;B1
C0000168;ANT000027;N78
C0000169;ANT000028;GSM900
C0000170;ANT000028;B8
C0000171;ANT000028;B3
C0000172;ANT000028;B32
C0000173;ANT000028;B20
C0000174;ANT000028;N28
C0000175;ANT000028;B1
C0000176;ANT000028;N78
C0000177;ANT000029;GSM900
C0000178;ANT000029;B8
C0000179;ANT000029;B3
C0000180;ANT000029;B32
C0000181;ANT000029;B20
C0000182;ANT000029;N28
C0000183;ANT000029;B1
C0000184;ANT000029;N78
C0000185;ANT000030;GSM900
C0000186;ANT000030;B8
C0000187;ANT000030;B3
C0000188;ANT000030;B32
C0000189;ANT000030;B20
C0000190;ANT000030;N28
C0000191;ANT000030;B1
C0000192;ANT000030;N78
C0000193;ANT000031;GSM900
C0000194;ANT000031;B8
C0000195;ANT000031;B3
C0000196;ANT000031;B32
C0000197;ANT000031;B20
C0000198;ANT000031;N28
C0000199;ANT000031;B1
C0000200;ANT000031;N78
C0000201;ANT000032;GSM900
C0000202;ANT000032;B8
C0000203;ANT000032;B3
C0000204;ANT000032;B32
C0000205;ANT000032;B20
C0000206;ANT000032;N28
C0000207;ANT000032;B1
C0000208;ANT000032;N78
C0000209;ANT000033;GSM900
C0000210;ANT000033;B8
C0000211;ANT000033;B3
C0000212;ANT000033;B32
C0000213;ANT000033;B20
C0000214;ANT000033;N28
C0000215;ANT000033;B1
C0000216;ANT000033;N78
C0000217;ANT000034;GSM900
C0000218;ANT000034;B8
C0000219;ANT000034;B32
C0000220;ANT000034;B3
C0000221;ANT000034;B7
C0000222;ANT000034;B20
C0000223;ANT000034;N28
C0000224;ANT000034;N1
C0000225;ANT000034;B1
C0000226;ANT000034;N78
C0000227;ANT000035;GSM900
C0000228;ANT000035;B8
C0000229;ANT000035;B32
C0000230;ANT000035;B3
C0000231;ANT000035;B7
C0000232;ANT000035;B20
C0000233;ANT000035;N28
C0000234;ANT000035;N1
C0000235;ANT000035;B1
C0000236;ANT000035;N78
C0000237;ANT000036;GSM900
C0000238;ANT000036;B8
C0000239;ANT000036;B32
C0000240;ANT000036;B3
C0000241;ANT000036;B7
C0000242;ANT000036;B20
C0000243;ANT000036;N28
C0000244;ANT000036;N1
C0000245;ANT000036;B1
C0000246;ANT000036;N78
C0000247;ANT000037;B8
C0000248;ANT000037;B3
C0000249;ANT000037;B20
C0000250;ANT000037;N1
